dataid,active_record,building_type,city,state,egauge_1min_min_time,egauge_1min_max_time,egauge_1min_data_availability,,egauge_1s_max_time,egauge_1s_data_availability,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1,wellpump1,water_ert_min_time,water_ert_max_time,water_data_availability,gas_ert_min_time,gas_ert_max_time,gas_data_availability,indoor_temp_min_time,indoor_temp_max_time,indoor_temp_data_availability,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,pv,pv_panel_direction,total_amount_of_pv,amount_of_south_facing_pv,amount_of_west_facing_pv,amount_of_east_facing_pv,number_of_nests,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,survey_2017,survey_2019,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,program_shines
1681,yes,Single-Family Home 001 (Master),Austin,Texas,2013-03-13 19:00:00-05:00,2016-01-13 02:59:00-06:00,0.99,,,,yes,,,,,,,yes,,,,,,,,,,yes,,,,,,,,yes,,,,yes,,,,,,,,,yes,,yes,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,6/6/2012,,1927,1456,1456,,,,,,,,,,,,,,,,,,,,,,yes,,,CCET - UT Text,,
9971,yes,Single-Family Home 001 (Master),Austin,Texas,2014-02-05 18:00:00-06:00,2021-01-31 02:59:00-06:00,1.00,,2021-01-31 02:00:00-06:00,100%,yes,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,2015-08-20 14:03:00-05:00,2019-04-04 23:59:00-05:00,94%,2012-04-11 18:56:54-05:00,2019-03-02 11:33:51.033059-06:00,18%,2019-12-06 10:04:00-06:00,2021-01-31 05:01:00-06:00,69%,11/22/2011,,2009,2938,1459,1479,0,0,0,yes,South;West,6.125,2.205,3.92,,,,,yes,yes,yes,,,yes,,,yes,,,CCET - Pricing Trial,,
7419,yes,Single-Family Home 001 (Master),Austin,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
9771,,Single-Family Home 001 (Master),Austin,Texas,2012-07-18 19:00:00-05:00,2017-04-29 02:33:00-05:00,0.99,,,,yes,yes,,,,,,,,,,,,,,,yes,,yes,,,,yes,,,yes,yes,,,yes,,,,,,,yes,,yes,yes,,,,,,,yes,,,yes,,,yes,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,6/15/2012,11/14/2018,2000,3364,1544,1820,0,0,0,,,,,,,,,yes,,,,,,,,,yes,,,CCET - Text Message,,
8079,,Single-Family Home 001 (Master),Austin,Texas,2013-02-16 18:00:00-06:00,2018-04-10 02:59:00-05:00,1.00,,,,yes,yes,,,,,,yes,,,,,,,,,,yes,,,yes,yes,,,,yes,yes,,,yes,,,,,,yes,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,7/2/2012,4/13/2018,1993,3131,1892,1239,0,0,0,,,,,,,,,,,,,,yes,,,,yes,,,CCET - Text Message,,
5814,,Single-Family Home 001 (Master),Austin,Texas,2012-10-13 19:00:00-05:00,2019-06-22 08:59:00-05:00,0.98,,2019-06-22 08:00:00-05:00,75%,yes,,,,,,,,,,,,,,,,,,,,,,yes,,,yes,,,,yes,,,,,,,,,,,yes,yes,,,,,yes,yes,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-30 18:00:27-05:00,2015-10-28 23:54:00-05:00,27%,2014-05-28 15:22:48-05:00,2019-06-20 18:42:59.657488-05:00,95%,,,,7/2/2012,6/22/2019,1951,1080,,,,,,,,,,,,,,yes,,yes,yes,yes,yes,yes,,,yes,,,CCET - UT Text,,
8467,yes,Single-Family Home 001 (Master),Austin,Texas,2013-04-21 19:00:00-05:00,2021-01-31 02:59:00-06:00,0.88,,2021-01-31 02:00:00-06:00,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,2012-07-10 18:00:00-05:00,2020-10-08 18:44:00-05:00,8%,2012-10-08 14:10:45-05:00,2020-10-08 18:49:05.687032-05:00,89%,2014-09-24 17:49:00-05:00,2017-10-11 06:59:00-05:00,96%,11/22/2011,,2011,3165,,,,,,yes,South,5.18,5.18,0,,,,,yes,,,,,,,,yes,,,CCET - Text Message,,
8386,yes,Single-Family Home 001 (Master),Austin,Texas,2014-05-21 00:00:00-05:00,2021-01-31 02:59:00-06:00,0.97,,2021-01-31 02:00:00-06:00,100%,yes,,,,,,,yes,,,,,,,,,yes,,,,yes,yes,,yes,,yes,,,,yes,,,,,,,yes,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,2012-11-17 17:57:47-06:00,2018-01-31 02:59:32-06:00,37%,,,,11/22/2011,,2007,1720,1720,,,,,,,,,,,,,,yes,,,,,,,,yes,,,,,
580,,Single-Family Home 001 (Master),Austin,Texas,2013-08-13 19:00:00-05:00,2016-04-26 02:59:00-05:00,0.99,,,,yes,,,,,,,,,,,,,,,,,yes,,,yes,yes,,,,,,,,yes,,,,,,,yes,,,,,,,,,,,,,,,,yes,,,,,yes,,,yes,yes,,,,,,,,,,,,,yes,,,,,,,,,,7/13/2012,9/3/2019,1962,1770,1770,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
7850,yes,Single-Family Home 001 (Master),Austin,Texas,2012-05-15 19:00:00-05:00,2021-01-31 02:59:00-06:00,1.00,,2021-01-31 02:00:00-06:00,99%,yes,,,,,,,,,,,,,yes,,,yes,,,,yes,yes,yes,,,yes,,,,yes,,,,,,,,,yes,yes,,,,,,,,,yes,,,,,,,,,,,,yes,,,,,yes,,,,,,,,,,,,,2012-11-17 17:35:44-06:00,2017-06-12 12:14:49-05:00,19%,,,,11/22/2011,,2007,2345,1385,960,0,0,0,yes,South;West,6,2.5,3.5,,2,,,,,yes,,,,,,yes,,,,,
